Property code,Page,Must fix,Issues,Status,Last enforcement date,First enforcement date,Publisher contact,Request Review ,Fixed
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2019031213191592987,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-03,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2019032816314320613,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2019040313085217953,No,Adult: Sexual content,Restricted demand,2020-01-06,2020-01-02,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2019040512461223200,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-04,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2019041511204468186,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2019053014370178158,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2019060516413093608,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-04,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2019060516413093608&vgb=column&code=column274,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-07,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2019061310080373129,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-05,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2019061910222540505,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2019070407171816636,No,Adult: Sexual content,Restricted demand,2020-01-06,2020-01-02,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2019070410365936485,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2019070413385469467,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2019070909263936949,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2019072119365415352,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2019072409330674957,No,Adult: Sexual content,Restricted demand,2020-01-06,2020-01-02,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2019073008544293462&outlink=1&ref=http%3A%2F%2Fsearch.daum.net,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-07,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2019073009551103541,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2019073017355592236,No,Adult: Sexual content,Restricted demand,2020-01-06,2020-01-04,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2019073018312120458,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2019080813043542167,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-04,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2019081316200720793,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-03,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2019081516290157310,No,Adult: Sexual content,Restricted demand,2020-01-06,2020-01-06,,,
